"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	0	1.161913131649	1	1	0	"0"	"DLK1"
"2"	0	1.01808116274797	1	0.991	0	"0"	"GPC3"
"3"	7.20214889888009e-269	1.1836299333935	0.999	0.994	1.35969369061957e-264	"0"	"NTS"
"4"	7.7964142103794e-117	1.1293772405981	0.788	0.574	1.47188503877753e-112	"1"	"KRT7"
"5"	1.25304255165086e-57	0.890819594612039	0.802	0.677	2.36561903326165e-53	"1"	"MMP7"
"6"	1.20001994873848e-29	0.635772549018951	0.523	0.447	2.26551766122337e-25	"1"	"CXCL6"
"7"	0	2.2010075897613	1	1	0	"2"	"IGHG1"
"8"	2.42997146544923e-205	2.03210643908862	0.995	0.935	4.58754312962161e-201	"2"	"IGLC3"
"9"	2.46539283665818e-184	2.00145248280981	1	0.954	4.65441513632697e-180	"2"	"IGHG2"
"10"	0	2.31483649749323	1	1	0	"3"	"HP"
"11"	0	1.71907111521183	1	1	0	"3"	"APOA1"
"12"	0	1.68708993476402	1	0.992	0	"3"	"FGB"
"13"	2.64591625861641e-90	0.45637163033933	1	1	4.99522530464192e-86	"4"	"DLK1"
"14"	3.28792985483471e-41	0.424546311954497	0.962	0.869	6.20728277294245e-37	"4"	"AC079466.1"
"15"	2.28254268900227e-38	0.410988886282537	0.984	0.927	4.30921234256739e-34	"4"	"SPP1"
"16"	8.37873814659006e-136	0.816953316238195	1	1	1.58182197469474e-131	"5"	"HP"
"17"	1.26416696545967e-132	0.669949170138348	1	1	2.38662081409131e-128	"5"	"APOA1"
"18"	2.03106625527543e-74	0.637818215448717	0.994	0.872	3.83444998333449e-70	"5"	"HPD"
"19"	1.40201244713077e-127	1.3451093768086	1	0.994	2.64685929893818e-123	"6"	"RPL34"
"20"	2.64476890583071e-119	2.21910061414096	0.91	0.483	4.99305921731779e-115	"6"	"CCL19"
"21"	3.85994898518224e-76	1.49569858276426	0.94	0.724	7.28719768912556e-72	"6"	"CCL21"
"22"	2.3139630670098e-102	1.83978443731368	0.973	0.757	4.3685308742078e-98	"7"	"CXCL9"
"23"	3.92480248030895e-64	1.35370602275228	0.858	0.485	7.40963460257526e-60	"7"	"CXCL10"
"24"	3.0065465237922e-62	1.00348568020298	0.918	0.55	5.6760591822673e-58	"7"	"WARS"
