"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	0	3.64953360727588	1	0.932	0	"0"	"ALB"
"2"	0	3.57689665579609	0.989	0.363	0	"0"	"CYP2E1"
"3"	0	3.54166648496129	1	0.983	0	"0"	"APOA2"
"4"	0	4.79142564306358	0.865	0.094	0	"1"	"C1QC"
"5"	0	4.73657737797586	0.906	0.18	0	"1"	"C1QA"
"6"	0	4.66531157158707	0.867	0.14	0	"1"	"C1QB"
"7"	0	3.30645818536897	0.984	0.202	0	"2"	"PLVAP"
"8"	0	2.91538388567499	0.68	0.092	0	"2"	"ESM1"
"9"	0	2.82101362201487	0.946	0.22	0	"2"	"DNASE1L3"
"10"	0	3.28792196184769	0.455	0.037	0	"3"	"KLRB1"
"11"	0	2.94704886128853	0.56	0.067	0	"3"	"LTB"
"12"	6.9760618364196e-281	3.03484232064509	0.554	0.091	2.28382312400705e-276	"3"	"CD69"
"13"	0	5.65153545106989	0.947	0.142	0	"4"	"ACTA2"
"14"	0	5.48742478673826	0.894	0.094	0	"4"	"TAGLN"
"15"	0	5.43899832570998	0.969	0.093	0	"4"	"RGS5"
"16"	4.63957935074433e-141	2.03373985158178	0.743	0.303	1.51890548784668e-136	"5"	"DNASE1L3"
"17"	4.90604363259544e-116	2.12682504042557	0.545	0.186	1.6061405644391e-111	"5"	"TM4SF18"
"18"	3.19276844293944e-107	1.93790694745088	0.662	0.302	1.04524853284951e-102	"5"	"ID3"
"19"	0	3.73847727305237	0.568	0.027	0	"6"	"S100A9"
"20"	1.35861894971322e-226	3.62193714501483	0.905	0.205	4.44784671757115e-222	"6"	"LST1"
"21"	3.9148160278633e-137	3.54659317719942	0.481	0.069	1.28163247120189e-132	"6"	"CCL20"
"22"	5.77810716780887e-277	2.96231615258007	0.867	0.127	1.89163672459727e-272	"7"	"C1orf54"
"23"	6.53635683452489e-261	2.78003683069649	0.809	0.108	2.13987250048676e-256	"7"	"LGALS2"
"24"	1.78151248119167e-224	2.93427673298364	0.836	0.146	5.83231556092529e-220	"7"	"CPVL"
"25"	0	5.97098026224384	0.811	0.018	0	"8"	"GNLY"
"26"	0	4.7015766623615	0.932	0.05	0	"8"	"NKG7"
"27"	0	4.42483632755426	0.753	0.013	0	"8"	"GZMB"
"28"	0	5.5308407520856	0.987	0.02	0	"9"	"MZB1"
"29"	2.24581112893904e-229	8.16480087996755	0.931	0.125	7.35233647392062e-225	"9"	"IGJ"
"30"	7.24609359198083e-103	8.28643587611895	0.893	0.305	2.37222612014269e-98	"9"	"IGLL5"
"31"	0	3.62018883841823	0.648	0.021	0	"10"	"CRTAM"
"32"	4.94108785833852e-298	3.55600334236419	0.81	0.052	1.61761334306287e-293	"10"	"GZMK"
"33"	3.33899058802845e-263	3.68252225602257	0.423	0.013	1.09311873870875e-258	"10"	"CXCL13"
"34"	0	3.37196451084064	0.813	0.037	0	"11"	"KIAA0101"
"35"	4.03896324325338e-134	3.79579586665276	0.97	0.234	1.32227578657629e-129	"11"	"STMN1"
"36"	7.12738110376165e-100	3.46727952222051	0.791	0.176	2.33336202574949e-95	"11"	"HIST1H4C"
"37"	5.36706508643955e-176	2.50479936869739	0.744	0.066	1.75706976799858e-171	"12"	"CRYAB"
"38"	1.82674411823927e-130	2.36107511149241	0.984	0.21	5.98039489429171e-126	"12"	"KRT8"
"39"	7.63171223361393e-126	2.43947418565827	1	0.23	2.49846995104053e-121	"12"	"KRT18"
"40"	3.78334568618783e-152	4.46828668599571	0.981	0.159	1.23859171074417e-147	"13"	"CLDN5"
"41"	1.87756654651974e-105	4.34469443936242	1	0.287	6.14677735999631e-101	"13"	"TM4SF1"
"42"	6.77630790265884e-98	3.61893904994845	0.944	0.227	2.21842768117245e-93	"13"	"MGP"
"43"	1.06369133415512e-177	3.04477905007445	0.494	0.02	3.48231268975704e-173	"14"	"TNFRSF18"
"44"	3.99360905560581e-85	2.61051053112132	0.674	0.086	1.30742773262423e-80	"14"	"CD2"
"45"	7.96469729253209e-59	2.77713420632607	0.629	0.106	2.60748259962916e-54	"14"	"LTB"
"46"	8.65360005861683e-25	1.72105974737092	0.943	0.215	2.83301558718998e-20	"15"	"CCL3L1"
"47"	3.25545068224527e-22	1.65418560043931	0.971	0.267	1.06576944435346e-17	"15"	"C1QB"
"48"	9.75847084473851e-20	1.58275624226894	0.971	0.307	3.19472818515049e-15	"15"	"C1QA"
