,median,mean,max,min
chr1,23417.5,56797.21047526673,1551826.0,0.0
chr2,42842.0,86982.32718524459,1899225.0,0.0
chr3,40967.0,97521.24512534818,1737351.0,0.0
chr4,47326.5,99194.09946949602,1500409.0,0.0
chr5,42387.5,88024.61337868481,1552524.0,0.0
chr6,22802.0,70724.44995233556,1987155.0,0.0
chr7,31372.5,86661.94946236559,2304321.0,0.0
chr8,35242.0,89570.19252873563,2059435.0,0.0
chr9,25603.0,68249.49224806202,2298442.0,0.0
chr10,40465.0,88907.21780821918,1851063.0,0.0
chr11,14945.5,51161.89984825493,2172396.0,0.0
chr12,28678.0,66641.34522661523,1258398.0,0.0
chr13,45742.0,104436.4596273292,1472119.0,0.0
chr14,26215.0,67849.78699186991,1692507.0,0.0
chr15,38344.0,75145.49166666667,956969.0,0.0
chr16,19303.5,48635.66355140187,2472710.0,0.0
chr17,16083.0,39081.92405063291,1159990.0,0.0
chr18,53388.5,111655.23308270676,1185526.0,0.0
chr19,14769.0,23813.70895522388,484462.0,0.0
chr20,23325.0,53369.32417582418,2052835.0,0.0
chr21,24111.0,66517.03196347032,1215019.0,0.0
chr22,21675.0,44695.36771300448,760513.0,0.0
chrX,16288.5,63152.73130841122,2241819.0,0.0
chrY,24164.0,55850.88888888889,737289.0,0.0
chrM,0.0,0.0,0.0,0.0
