,median,mean,max,min
chr1,24843.5,58354.68574199806,1551957.0,63.0
chr2,44366.0,88608.7818765036,1899594.0,57.0
chr3,41750.0,99042.70659238625,1743270.0,78.0
chr4,48832.5,100749.63527851459,1506192.0,78.0
chr5,43754.0,89703.28004535148,1553083.0,553.0
chr6,24360.0,72295.04385128694,1987247.0,72.0
chr7,33077.5,88194.78279569892,2304997.0,51.0
chr8,36592.5,90888.25431034483,2059620.0,75.0
chr9,26915.5,69792.12532299741,2298757.0,99.0
chr10,41408.5,90695.4205479452,1851181.0,39.0
chr11,16425.0,52554.00303490137,2172911.0,485.0
chr12,29890.0,68127.73288331727,1258480.0,261.0
chr13,48171.0,106355.00621118012,1475062.0,84.0
chr14,27026.0,69292.47479674796,1697919.0,634.0
chr15,39590.0,76789.35,969299.0,54.0
chr16,20478.5,50015.26285046729,2473539.0,141.0
chr17,17153.0,40372.437130801685,1161878.0,57.0
chr18,53975.0,113589.2932330827,1195707.0,956.0
chr19,15899.0,25028.122795115334,485249.0,153.0
chr20,24231.0,54944.7728937729,2057829.0,192.0
chr21,27326.0,68023.30593607305,1216867.0,204.0
chr22,23823.5,46208.242152466366,760616.0,213.0
chrX,17577.0,64728.418224299065,2241933.0,90.0
chrY,25175.0,57314.74603174603,741999.0,702.0
chrM,784.0,876.5384615384615,1812.0,207.0
