,median,mean,max,min
chr1,654.0,1557.4752667313287,27923.0,5.0
chr2,613.0,1626.4546912590217,20879.0,3.0
chr3,584.0,1521.4614670380688,17064.0,15.0
chr4,599.0,1555.5358090185675,16162.0,21.0
chr5,607.5,1678.6666666666667,13488.0,15.0
chr6,623.0,1570.5938989513822,18797.0,7.0
chr7,601.0,1532.8333333333333,16366.0,4.0
chr8,560.0,1318.0617816091954,20241.0,7.0
chr9,705.5,1542.6330749354006,15789.0,6.0
chr10,766.0,1788.2027397260274,15857.0,4.0
chr11,728.5,1392.103186646434,19504.0,8.0
chr12,571.0,1486.387656702025,23524.0,4.0
chr13,821.5,1918.5465838509317,16122.0,8.0
chr14,606.0,1442.6878048780488,33681.0,20.0
chr15,572.0,1643.8583333333333,21679.0,15.0
chr16,571.5,1379.5992990654206,14219.0,4.0
chr17,554.0,1290.5130801687765,21079.0,3.0
chr18,597.5,1934.0601503759399,16433.0,25.0
chr19,541.0,1214.4138398914517,16219.0,3.0
chr20,665.5,1575.448717948718,12236.0,9.0
chr21,588.0,1506.2739726027398,13170.0,31.0
chr22,594.0,1512.8744394618834,18445.0,18.0
chrX,786.0,1575.6869158878505,13748.0,3.0
chrY,1161.0,1463.857142857143,7368.0,31.0
chrM,784.0,876.5384615384615,1812.0,207.0
